Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.841	0.0309094	
0.842	0.0302148	
0.843	0.030078	
0.844	0.0304133	
0.845	0.0308538	
0.846	0.031035	
0.847	0.0307162	
0.848	0.0303065	
0.849	0.0301613	
0.850	0.0301031	
0.851	0.030038	
0.852	0.030128	
0.853	0.0303364	
0.854	0.0305064	
0.855	0.0302494	
0.856	0.0298812	
0.857	0.0297956	
0.858	0.0299327	
0.859	0.0301845	
0.860	0.0303539	
0.861	0.0303751	
0.862	0.0300365	
0.863	0.0296038	
0.864	0.0294366	
0.865	0.0295637	
0.866	0.0299428	
0.867	0.0299428	
0.868	0.030174	
0.869	0.0298195	
0.870	0.0293877	
0.871	0.0294109	
0.872	0.0295209	
0.873	0.0297156	
0.874	0.030097	
0.875	0.030231	
0.876	0.0300166	
0.877	0.0295137	
0.878	0.0292317	
0.879	0.0298018	
0.880	0.0305931	
0.881	0.030912	
0.882	0.0304276	
0.883	0.0295084	
0.884	0.0299631	
0.885	0.0307161	
0.886	0.0308317	
0.887	0.0304311	
0.888	0.0299986	
0.889	0.0299619	
0.890	0.0304359	
0.891	0.0306197	
0.892	0.0303054	
0.893	0.0300057	
0.894	0.030016	
0.895	0.0302635	
0.896	0.0303719	
0.897	0.0303715	
0.898	0.0301812	
0.899	0.0297509	
0.900	0.0296992	
0.901	0.029756	
0.902	0.0299099	
0.903	0.0299362	
0.904	0.0299056	
0.905	0.0297992	
0.906	0.0293656	
0.907	0.0292094	
0.908	0.029386	
0.909	0.0295587	
0.910	0.0296394	
0.911	0.0295982	
0.912	0.0294164	
0.913	0.0294603	
0.914	0.0296952	
0.915	0.0298812	
0.916	0.0298469	
0.917	0.0294523	
0.918	0.0291581	
0.919	0.0295373	
0.920	0.0301907	
0.921	0.0304312	
0.922	0.0304312	
0.923	0.0294647	
0.924	0.0292084	
0.925	0.0297739	
0.926	0.0302912	
0.927	0.0303045	
0.928	0.0299967	
0.929	0.0298258	
0.930	0.0298494	
0.931	0.0301036	
0.932	0.0300213	
0.933	0.029789	
0.934	0.029789	
0.935	0.0299587	
0.936	0.0303471	
0.937	0.0302816	
0.938	0.0302816	
0.939	0.0296762	
0.940	0.0296762	
0.941	0.0304319	
0.942	0.030651	
0.943	0.0302867	
0.944	0.0296912	
0.945	0.0295997	
0.946	0.0300332	
0.947	0.0305038	
0.948	0.0302704	
0.949	0.0296797	
0.950	0.0292872	
0.951	0.0295376	
0.952	0.0299708	
0.953	0.0300597	
0.954	0.0296323	
0.955	0.0296323	
0.956	0.0294171	
0.957	0.0294171	
0.958	0.0297017	
0.959	0.0295339	
0.960	0.0295339	
0.961	0.0297539	
0.962	0.0297539	
0.963	0.0297384	
0.964	0.0297384	
0.965	0.0296431	
0.966	0.0296431	
0.967	0.030472	
0.968	0.030472	
0.969	0.0300296	
0.970	0.0298394	
0.971	0.0298394	
0.972	0.0301407	
0.973	0.0304458	
0.974	0.0303884	
0.975	0.0300729	
0.976	0.0298775	
0.977	0.0300456	
0.978	0.030364	
0.979	0.0306215	
0.980	0.0303491	
0.981	0.0298448	
0.982	0.0298305	
0.983	0.0303115	
0.984	0.0308466	
0.985	0.0308591	
0.986	0.0302855	
0.987	0.0297631	
0.988	0.0300383	
0.989	0.0306322	
0.990	0.0308214	
0.991	0.0303466	
0.992	0.0298947	
0.993	0.0298407	
0.994	0.0301781	
0.995	0.0304004	
0.996	0.030147	
0.997	0.0298656	
0.998	0.0299095	
0.999	0.0302004	
1.000	0.0302024	
1.001	0.0300444	
1.002	0.0297917	
1.003	0.0299242	
1.004	0.0303397	
1.005	0.0306486	
1.006	0.0302646	
1.007	0.0295443	
1.008	0.0297934	
1.009	0.0304416	
1.010	0.030921	
1.011	0.0307329	
1.012	0.0303371	
1.013	0.0298617	
1.014	0.0299502	
1.015	0.0304718	
1.016	0.0308648	
1.017	0.0307473	
1.018	0.0304497	
1.019	0.0303112	
1.020	0.0302872	
1.021	0.0303992	
1.022	0.0305018	
1.023	0.0306838	
1.024	0.0306204	
1.025	0.0301894	
1.026	0.0298077	
1.027	0.0297042	
1.028	0.0302432	
1.029	0.0307509	
1.030	0.0307812	
1.031	0.030256	
1.032	0.0295812	
1.033	0.0294608	
1.034	0.0300012	
1.035	0.0304794	
1.036	0.0303585	
1.037	0.029817	
1.038	0.0295122	
1.039	0.029807	
1.040	0.0303618	
1.041	0.0304154	
1.042	0.0300638	
1.043	0.0297356	
1.044	0.0298125	
1.045	0.0301036	
1.046	0.0302472	
1.047	0.029935	
1.048	0.029768	
1.049	0.0298053	
1.050	0.0299187	
1.051	0.0299271	
1.052	0.0298283	
1.053	0.0296479	
1.054	0.0295787	
1.055	0.0297021	
1.056	0.0296813	
1.057	0.0295955	
1.058	0.029545	
1.059	0.0296417	
1.060	0.0298488	
1.061	0.0300046	
1.062	0.0299724	
1.063	0.0298831	
1.064	0.029783	
1.065	0.0299672	
1.066	0.0304878	
1.067	0.0307318	
1.068	0.0303108	
1.069	0.0297275	
1.070	0.0296851	
1.071	0.0305119	
1.072	0.0305119	
1.073	0.0307897	
1.074	0.0300065	
1.075	0.0293472	
1.076	0.0295791	
1.077	0.030296	
1.078	0.0306581	
1.079	0.0303898	
1.080	0.0298194	
1.081	0.0295072	
1.082	0.0298341	
1.083	0.0308915	
1.084	0.0308915	
1.085	0.0306859	
1.086	0.0301058	
1.087	0.0297976	
1.088	0.0301465	
1.089	0.0308424	
1.090	0.0312617	
1.091	0.0308684	
1.092	0.0300198	
1.093	0.0295745	
1.094	0.0298688	
1.095	0.0303672	
1.096	0.0307347	
1.097	0.0304737	
1.098	0.0299265	
1.099	0.029635	
1.100	0.0296701	
1.101	0.0298826	
1.102	0.0300014	
1.103	0.0301244	
1.104	0.0299957	
1.105	0.0299217	
1.106	0.0297791	
1.107	0.0298271	
1.108	0.0300427	
1.109	0.0302289	
1.110	0.0302464	
1.111	0.0302427	
1.112	0.0302215	
1.113	0.0300535	
1.114	0.0298534	
1.115	0.0299041	
1.116	0.03032	
1.117	0.0303736	
1.118	0.0302326	
1.119	0.0300745	
1.120	0.0298163	
1.121	0.0296235	
1.122	0.0298021	
1.123	0.0302354	
1.124	0.0305593	
1.125	0.0303572	
1.126	0.0297628	
1.127	0.0291841	
1.128	0.0294644	
1.129	0.0303781	
1.130	0.0309438	
1.131	0.030653	
1.132	0.0295946	
1.133	0.0290419	
1.134	0.0295457	
1.135	0.0306156	
1.136	0.0310208	
1.137	0.0303978	
1.138	0.029504	
1.139	0.0292791	
1.140	0.0298504	
1.141	0.030338	
1.142	0.0303099	
1.143	0.0300384	
1.144	0.029759	
1.145	0.029684	
1.146	0.0298959	
1.147	0.030141	
1.148	0.0301718	
1.149	0.0298909	
1.150	0.0296385	
1.151	0.0296509	
1.152	0.0298004	
1.153	0.0298685	
1.154	0.0299403	
1.155	0.0298383	
1.156	0.029568	
1.157	0.0293257	
1.158	0.0293738	
1.159	0.0296395	
1.160	0.0298141	
1.161	0.0298927	
1.162	0.029759	
1.163	0.0295582	
1.164	0.0296525	
1.165	0.0298628	
1.166	0.0302145	
1.167	0.0300044	
1.168	0.0295599	
1.169	0.0297519	
1.170	0.0303515	
1.171	0.0307039	
1.172	0.0305805	
1.173	0.0301613	
1.174	0.0298545	
1.175	0.0299525	
1.176	0.0304565	
1.177	0.0305703	
1.178	0.0303892	
1.179	0.0303203	
1.180	0.0304836	
1.181	0.0303523	
1.182	0.0299506	
1.183	0.0296183	
1.184	0.0300741	
1.185	0.030626	
1.186	0.0306647	
1.187	0.0299931	
1.188	0.0294121	
1.189	0.0294121	
1.190	0.0302739	
1.191	0.0307839	
1.192	0.0304407	
1.193	0.0298159	
1.194	0.0296517	
1.195	0.0300943	
1.196	0.0305365	
1.197	0.0304521	
1.198	0.0299712	
1.199	0.0296204	
1.200	0.0297848	
1.201	0.0303642	
1.202	0.0305652	
1.203	0.030156	
1.204	0.0297781	
1.205	0.0296973	
1.206	0.030272	
1.207	0.030272	
1.208	0.030232	
1.209	0.0299895	
1.210	0.030019	
1.211	0.0301709	
1.212	0.0302916	
1.213	0.0299937	
1.214	0.0299752	
1.215	0.0304326	
1.216	0.0306995	
1.217	0.0305801	
1.218	0.0302512	
1.219	0.0300038	
1.220	0.0299337	
1.221	0.0301709	
1.222	0.0304602	
1.223	0.0302284	
1.224	0.0298727	
1.225	0.029824	
1.226	0.0296447	
1.227	0.0298299	
1.228	0.0300976	
1.229	0.0299837	
1.230	0.0296001	
1.231	0.0293969	
1.232	0.029727	
1.233	0.030091	
1.234	0.0303252	
1.235	0.0300757	
1.236	0.0294866	
1.237	0.0295424	
1.238	0.030103	
1.239	0.0304803	
1.240	0.0301315	
1.241	0.0295716	
1.242	0.0297041	
1.243	0.0300319	
1.244	0.0303808	
1.245	0.0304222	
1.246	0.0299167	
1.247	0.0297955	
1.248	0.0301525	
1.249	0.0304371	
1.250	0.0304118	
1.251	0.0302159	
1.252	0.0302288	
1.253	0.0304941	
1.254	0.0305603	
1.255	0.0305603	
1.256	0.0301333	
1.257	0.0301333	
1.258	0.0309842	
1.259	0.0309842	
1.260	0.0306351	
1.261	0.0306351	
1.262	0.0300827	
1.263	0.0300827	
1.264	0.0307507	
