Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
1.046	0.0318489	
1.047	0.0318573	
1.048	0.0318573	
1.049	0.031466	
1.050	0.0314599	
1.051	0.0315268	
1.052	0.031412	
1.053	0.0310564	
1.054	0.0310397	
1.055	0.0308311	
1.056	0.0306145	
1.057	0.0305308	
1.058	0.030781	
1.059	0.0311144	
1.060	0.0313318	
1.061	0.0315055	
1.062	0.0317207	
1.063	0.0321775	
1.064	0.032641	
1.065	0.0325238	
1.066	0.0325019	
1.067	0.0328693	
1.068	0.0330451	
1.069	0.033067	
1.070	0.0329745	
1.071	0.032515	
1.072	0.0323903	
1.073	0.0325951	
1.074	0.0327277	
1.075	0.0324259	
1.076	0.0318175	
1.077	0.0315338	
1.078	0.0316593	
1.079	0.0316455	
1.080	0.031725	
1.081	0.0314409	
1.082	0.0314412	
1.083	0.0315543	
1.084	0.0319264	
1.085	0.0321761	
1.086	0.0323564	
1.087	0.032488	
1.088	0.032656	
1.089	0.0330054	
1.090	0.0330669	
1.091	0.0332278	
1.092	0.0331887	
1.093	0.0332479	
1.094	0.0332535	
1.095	0.0334929	
1.096	0.0336312	
1.097	0.0335035	
1.098	0.0332636	
1.099	0.0328051	
1.100	0.0327142	
1.101	0.0329087	
1.102	0.0327583	
1.103	0.0322241	
1.104	0.0316655	
1.105	0.0315129	
1.106	0.0317601	
1.107	0.0319459	
1.108	0.0317768	
1.109	0.0314862	
1.110	0.0313399	
1.111	0.0315183	
1.112	0.0321323	
1.113	0.0323657	
1.114	0.0322519	
1.115	0.0320318	
1.116	0.0322866	
1.117	0.0329325	
1.118	0.0332233	
1.119	0.0330958	
1.120	0.0328265	
1.121	0.0328659	
1.122	0.03338	
1.123	0.0335324	
1.124	0.0331565	
1.125	0.0325446	
1.126	0.0320358	
1.127	0.0320218	
1.128	0.0320381	
1.129	0.0316781	
1.130	0.0312296	
1.131	0.0304805	
1.132	0.0299471	
1.133	0.0298304	
1.134	0.0300001	
1.135	0.030005	
1.136	0.0297295	
1.137	0.0296069	
1.138	0.0296861	
1.139	0.0300202	
1.140	0.0302392	
1.141	0.0304156	
1.142	0.0303317	
1.143	0.0301549	
1.144	0.0304381	
1.145	0.0304381	
1.146	0.0307525	
1.147	0.0304796	
1.148	0.0304796	
1.149	0.030065	
1.150	0.0299594	
1.151	0.0299875	
1.152	0.0298013	
1.153	0.0294707	
1.154	0.0288618	
1.155	0.0285115	
1.156	0.0283496	
1.157	0.0281101	
1.158	0.0279558	
1.159	0.02765	
1.160	0.0270855	
1.161	0.0266985	
1.162	0.0267184	
1.163	0.027028	
1.164	0.0269871	
1.165	0.0269871	
1.166	0.0270782	
1.167	0.0270782	
1.168	0.0274748	
1.169	0.0274748	
1.170	0.0276352	
1.171	0.0276352	
1.172	0.027488	
1.173	0.027592	
1.174	0.0276752	
1.175	0.0275949	
1.176	0.0274075	
1.177	0.0272652	
1.178	0.0272753	
1.179	0.0274963	
1.180	0.0273725	
1.181	0.027079	
1.182	0.026605	
1.183	0.0264137	
1.184	0.0266012	
1.185	0.0263735	
1.186	0.0260575	
1.187	0.0256719	
1.188	0.02537	
1.189	0.0254392	
1.190	0.0255042	
1.191	0.0254094	
1.192	0.0251663	
1.193	0.0251509	
1.194	0.0253652	
1.195	0.025713	
1.196	0.0258767	
1.197	0.0259762	
1.198	0.0260929	
1.199	0.0264415	
1.200	0.0269489	
1.201	0.0273528	
1.202	0.0274276	
1.203	0.0276446	
1.204	0.0279656	
1.205	0.0286497	
1.206	0.0289792	
1.207	0.0290633	
1.208	0.0290272	
1.209	0.0292266	
1.210	0.0293858	
1.211	0.0294823	
1.212	0.0294076	
1.213	0.0292228	
1.214	0.0291038	
1.215	0.0288815	
1.216	0.0285838	
1.217	0.0282972	
1.218	0.0281016	
1.219	0.0279097	
1.220	0.0275332	
1.221	0.0272966	
1.222	0.0269054	
1.223	0.0266341	
1.224	0.0265121	
1.225	0.0266458	
1.226	0.0267895	
1.227	0.0267295	
1.228	0.0267182	
1.229	0.0270795	
1.230	0.0274196	
1.231	0.0276904	
1.232	0.0278521	
1.233	0.0280386	
1.234	0.0281567	
1.235	0.0282671	
1.236	0.028444	
1.237	0.0285584	
1.238	0.0286366	
1.239	0.0283923	
1.240	0.0282579	
1.241	0.0282438	
1.242	0.0282068	
1.243	0.0279248	
1.244	0.027401	
1.245	0.0271455	
1.246	0.0271107	
1.247	0.0270121	
1.248	0.0270121	
1.249	0.0264434	
1.250	0.0261704	
1.251	0.0261776	
1.252	0.0260261	
1.253	0.0258221	
1.254	0.0257589	
1.255	0.0257264	
1.256	0.026012	
1.257	0.0263853	
1.258	0.0266726	
1.259	0.0267577	
1.260	0.0268264	
1.261	0.0270364	
1.262	0.0272768	
1.263	0.02745	
1.264	0.0276386	
1.265	0.0277994	
1.266	0.0279483	
